1, "MONARCH PAVING, DIV. OF MATHY"
20420, "REMOVING ASPHALTIC PAVEMENT,  MILLING", 17976.00, S.Y., 1.42, 25525.92
40204, ASPHALTIC MATERIAL FOR        TACK COAT, 450.00, GAL., 3.00, 1350.00
40501, ASPHALTIC MATERIAL FOR        PLANT MIXES, 118.62, TON, 140.00, 16606.80
40713, "ASPHALTIC CONCRETE PAVEMENT,  TYPE MV", 1977.00, TON, 21.81, 43118.37
61182, ADJUSTING MANHOLE COVERS, 21.00, EACH, 250.00, 5250.00
61910, MOBILIZATION, 1.00, L.S., 3000.00, 3000.00
64301, TRAFFIC CONTROL, 1.00, L.S., 3700.00, 3700.00
64406, "PAVEMENT MARKING, EPOXY,      4-INCH", 2122.00, L.F., 0.93, 1973.46
64457, "PAVEMENT MARKING, CROSSWALK,  EPOXY, 6-INCH", 288.00, L.F., 3.20, 921.60
64484, TEMPORARY PAVEMENT            MARKING, 452.00, L.F., 1.35, 610.20
90001, "PAVEMENT MARKING, CROSSWALK   EPOXY, 24-INCH", 528.00, L.F., 4.80, 2534.40
90402, "QUALITY MANAGEMENT PROGRAM,   ASPHALTIC MIXTURE", 1977.00, TON, 1.20, 2372.40
